study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	instrument_model	library_source	library_selection	first_public	study_alias	fastq_md5	fastq_ftp	submitted_ftp	sample_title
PRJEB3365	SAMEA1573535	ERS185262	ERX162418	ERR187488	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	985bb6c4d4c44936e52a98ab438ed8dc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187488/ERR187488.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA07000.1.MI_120104_3_1.fastq.gz	NA07000
PRJEB3365	SAMEA1573367	ERS185054	ERX162210	ERR187489	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	679e005e07a5a7c693fa32fac7370dca	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187489/ERR187489.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA19197.3.MI_120120_4_1.fastq.gz	NA19197
PRJEB3365	SAMEA1573405	ERS185361	ERX162517	ERR187490	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	0eb30deee89819593f1a49c1c490a78a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187490/ERR187490.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00251.2.MI_120126_8_1.fastq.gz	HG00251
PRJEB3365	SAMEA1573278	ERS185381	ERX162537	ERR187491	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	a4c0dbc74db7da1fd1255da2b40f4adc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187491/ERR187491.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA18908.7.MI_120224_3_1.fastq.gz	NA18908
PRJEB3365	SAMEA1573165	ERS185026	ERX162182	ERR187492	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	0c9ac7391f3e9649c9e4cb52b6eccf31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187492/ERR187492.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA12383.1.MI_120104_1_1.fastq.gz	NA12383
PRJEB3365	SAMEA1573358	ERS185452	ERX162608	ERR187493	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	2b9effa9150cfd93441bf207dba66dc1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187493/ERR187493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA19117.1.MI_120104_3_1.fastq.gz	NA19117
PRJEB3365	SAMEA1573361	ERS185319	ERX162475	ERR187494	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	0be9a227d6639e21989b2a23c3f7ee9c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187494/ERR187494.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00285.3.MI_120120_5_1.fastq.gz	HG00285
PRJEB3365	SAMEA1573173	ERS185254	ERX162410	ERR187495	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	39cc630a48229018fde782e22bee57a1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187495/ERR187495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA12717.1.MI_120104_4_1.fastq.gz	NA12717
PRJEB3365	SAMEA1573533	ERS185223	ERX162379	ERR187496	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	df6a5dfe25d633d2b52cf8cf946aa2e2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187496/ERR187496.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20516.5.MI_120327_3_1.fastq.gz	NA20516
PRJEB3365	SAMEA1573207	ERS185103	ERX162259	ERR187497	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	c7ad9b746fddbecacf6c08f18e795236	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187497/ERR187497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA12812.1.MI_120104_1_1.fastq.gz	NA12812
