mirna	ERR187490	ERR187494	ERR187664	ERR187665
hsa-let-7a-3p	26.0	102.0	25.0	197.0
hsa-let-7a-5p	15468.0	88847.0	31063.0	112039.0
hsa-let-7b-3p	8.0	0.0	0.0	39.0
hsa-let-7b-5p	406.0	260.0	153.0	1160.0
hsa-let-7c-5p	62.0	95.0	100.0	189.0
hsa-let-7d-3p	127.0	569.0	265.0	863.0
hsa-let-7d-5p	975.0	5078.0	2172.0	4360.0
hsa-let-7e-5p	28.0	341.0	227.0	496.0
hsa-let-7f-1-3p	10.0	64.0	27.0	92.0
hsa-let-7f-2-3p	27.0	65.0	18.0	94.0
hsa-let-7f-5p	16487.0	79937.0	34686.0	103838.0
hsa-let-7g-3p	19.0	26.0	2.0	33.0
hsa-let-7g-5p	4200.0	18667.0	7814.0	17529.0
hsa-let-7i-3p	13.0	137.0	36.0	92.0
hsa-let-7i-5p	3043.0	15457.0	5119.0	12151.0
hsa-miR-100-3p	0.0	2.0	0.0	0.0
hsa-miR-100-5p	0.0	10.0	0.0	0.0
hsa-miR-101-3p	678.0	2065.0	799.0	2905.0
hsa-miR-103a-2-5p	0.0	2.0	0.0	4.0
hsa-miR-103a-3p	3049.0	13812.0	5310.0	13148.0
hsa-miR-106a-3p	0.0	3.0	0.0	8.0
hsa-miR-106a-5p	20.0	201.0	27.0	356.0
hsa-miR-106b-3p	322.0	1933.0	564.0	1334.0
hsa-miR-106b-5p	107.0	360.0	129.0	847.0
hsa-miR-107	1373.0	5960.0	2060.0	4568.0
hsa-miR-10a-3p	2.0	15.0	9.0	20.0
hsa-miR-10a-5p	9167.0	39120.0	66816.0	105131.0
hsa-miR-10b-5p	4.0	107.0	116.0	198.0
hsa-miR-1180-3p	7.0	57.0	16.0	37.0
hsa-miR-122-5p	0.0	3.0	5.0	0.0
hsa-miR-1226-3p	0.0	10.0	6.0	5.0
hsa-miR-1227-3p	0.0	4.0	0.0	0.0
hsa-miR-1229-3p	0.0	0.0	2.0	0.0
hsa-miR-1234-3p	0.0	2.0	0.0	0.0
hsa-miR-1237-3p	0.0	2.0	0.0	2.0
hsa-miR-1243	0.0	0.0	3.0	0.0
hsa-miR-1246	552.0	4333.0	1924.0	857.0
hsa-miR-1249-3p	7.0	10.0	0.0	23.0
hsa-miR-1249-5p	0.0	2.0	0.0	0.0
hsa-miR-1254	4.0	6.0	4.0	18.0
hsa-miR-1255a	0.0	12.0	0.0	6.0
hsa-miR-125a-3p	0.0	0.0	5.0	0.0
hsa-miR-125a-5p	92.0	124.0	503.0	140.0
hsa-miR-125b-1-3p	0.0	2.0	0.0	0.0
hsa-miR-125b-2-3p	11.0	16.0	29.0	24.0
hsa-miR-125b-5p	14.0	11.0	25.0	16.0
hsa-miR-126-5p	7.0	13.0	9.0	18.0
hsa-miR-1260a	1115.0	3124.0	600.0	3700.0
hsa-miR-1260b	1343.0	3687.0	683.0	4229.0
hsa-miR-1261	0.0	5.0	2.0	5.0
hsa-miR-1266-5p	0.0	0.0	0.0	3.0
hsa-miR-1268a	33.0	112.0	32.0	84.0
hsa-miR-1268b	33.0	112.0	32.0	84.0
hsa-miR-127-3p	9.0	9.0	23.0	4.0
hsa-miR-1270	2.0	10.0	0.0	18.0
hsa-miR-1271-5p	3.0	21.0	12.0	47.0
