mirna	ERS185036	ERS185068	ERS185082	ERS185102	ERS185125	ERS185252	ERS185400	ERS185403	ERS185470	ERS185473
hsa-let-7a-3p	59.0	82.0	86.0	88.0	48.0	49.0	60.0	30.0	45.0	35.0
hsa-let-7a-5p	68099.0	78004.0	112861.0	31520.0	47677.0	82829.0	18372.0	52276.0	34386.0	58264.0
hsa-let-7b-3p	13.0	39.0	74.0	2.0	9.0	4.0	6.0	11.0	1.0	22.0
hsa-let-7b-5p	486.0	1579.0	2132.0	76.0	543.0	397.0	194.0	597.0	476.0	802.0
hsa-let-7c-3p	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-let-7c-5p	74.0	2763.0	279.0	95.0	16.0	3275.0	17.0	107.0	17.0	80.0
hsa-let-7d-3p	435.0	648.0	741.0	255.0	196.0	305.0	167.0	222.0	237.0	240.0
hsa-let-7d-5p	3851.0	10261.0	5829.0	2152.0	2779.0	9952.0	859.0	3484.0	2529.0	3159.0
hsa-let-7e-3p	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-let-7e-5p	220.0	142.0	317.0	133.0	134.0	199.0	71.0	346.0	337.0	310.0
hsa-let-7f-1-3p	43.0	148.0	79.0	34.0	37.0	65.0	27.0	17.0	18.0	30.0
hsa-let-7f-2-3p	36.0	27.0	64.0	21.0	28.0	16.0	28.0	17.0	25.0	31.0
hsa-let-7f-5p	36682.0	74464.0	95655.0	43594.0	38985.0	81547.0	15512.0	34544.0	41564.0	34018.0
hsa-let-7g-3p	16.0	39.0	44.0	18.0	10.0	33.0	5.0	15.0	11.0	12.0
hsa-let-7g-5p	11080.0	23772.0	24935.0	7749.0	11087.0	27507.0	4559.0	10895.0	9292.0	10374.0
hsa-let-7i-3p	157.0	96.0	332.0	46.0	38.0	61.0	18.0	131.0	21.0	63.0
hsa-let-7i-5p	7781.0	13076.0	16509.0	7391.0	4300.0	12406.0	3582.0	5307.0	6251.0	4787.0
hsa-miR-100-3p	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-100-5p	4.0	0.0	3.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0
hsa-miR-101-3p	704.0	2212.0	1935.0	1302.0	756.0	3712.0	313.0	466.0	907.0	469.0
hsa-miR-101-5p	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
hsa-miR-103a-2-5p	3.0	27.0	6.0	1.0	2.0	21.0	1.0	2.0	0.0	3.0
hsa-miR-103a-3p	5643.0	23340.0	15514.0	6602.0	5227.0	24665.0	3843.0	5380.0	4387.0	5968.0
hsa-miR-106a-3p	1.0	8.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0
hsa-miR-106a-5p	164.0	1532.0	224.0	25.0	34.0	321.0	237.0	151.0	14.0	89.0
hsa-miR-106b-3p	981.0	1975.0	2948.0	654.0	641.0	1291.0	497.0	770.0	575.0	495.0
hsa-miR-106b-5p	161.0	918.0	462.0	222.0	210.0	838.0	100.0	160.0	251.0	152.0
hsa-miR-107	2171.0	8336.0	7785.0	2641.0	1782.0	8193.0	1163.0	2056.0	1324.0	1818.0
hsa-miR-10a-3p	5.0	54.0	25.0	1.0	1.0	9.0	3.0	12.0	3.0	4.0
hsa-miR-10a-5p	49428.0	83380.0	99195.0	6796.0	7347.0	18406.0	19595.0	84234.0	2538.0	41226.0
hsa-miR-10b-5p	99.0	897.0	228.0	129.0	22.0	158.0	211.0	38.0	3.0	24.0
hsa-miR-1179	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1180-3p	32.0	39.0	33.0	16.0	21.0	53.0	5.0	12.0	15.0	17.0
hsa-miR-1180-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-1199-5p	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-miR-1200	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-122-5p	5.0	1.0	9.0	1.0	2.0	1.0	2.0	0.0	3.0	4.0
hsa-miR-1225-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
hsa-miR-1226-3p	6.0	30.0	17.0	9.0	5.0	10.0	7.0	11.0	2.0	12.0
