Sample	read_pass_filter	miRNAs	5'-3'_bias	Duplicates	Duplicates_pct	Mapped_paired_reads	isomiRs	reads_before_trimming	read_with_adapter	Average_read_length	RiP_pct	Intronic_Rate	Duplication_Rate_of_Mapped	Exonic_Rate	Mapped_reads	%GC	Sequences_flagged_as_poor_quality	Intergenic_Rate	Total_reads	Average_insert_size
ERS185036	8890678.0	836	332.33	17099369.0	39.4559645033	0.0	18736	8890678.0	6073142.0	21.0	0.0	0.4151	0.394559645033	0.279	28242863.0	55.0	0.0	0.3059	28490037.0	0.0
ERS185068	15390771.0	984	3.21	25498543.0	37.1826158156	0.0	28788	15390771.0	8201529.0	22.0	0.0	0.3776	0.371826158156	0.3069	40591539.0	53.0	0.0	0.3155	40966549.0	0.0
ERS185082	28679602.0	938	6.02	36023405.0	29.5430758578	0.0	31935	28679602.0	10274622.0	21.0	0.0	0.3902	0.295430758578	0.3158	51128268.0	54.0	0.0	0.294	51510333.0	0.0
ERS185102	16454415.0	817	2.27	27482405.0	34.6305628703	0.0	14317	16454415.0	7679783.0	21.0	0.0	0.4337	0.346305628703	0.2261	42041673.0	54.0	0.0	0.3402	42194758.0	0.0
ERS185125	3354888.0	734		6129844.0	37.7636330556	0.0	13328	3354888.0	2099017.0	22.0	0.0	0.3553	0.377636330556	0.37	9849296.0	54.0	0.0	0.2747	9919320.0	0.0
ERS185252	8681143.0	938		12447325.0	38.1294229883	0.0	25439	8681143.0	4695266.0	21.0	0.0	0.3821	0.381294229883	0.3068	20118327.0	53.0	0.0	0.3112	20308348.0	0.0
ERS185400	6954329.0	640	4.85	4383444.0	49.5743066911	0.0	14045	6954329.0	1636104.0	23.0	0.0	0.39	0.495743066911	0.282	8692878.0	52.0	0.0	0.328	8803151.0	0.0
ERS185403	4636336.0	784		6573910.0	44.9475080618	0.0	14288	4636336.0	2529571.0	21.0	0.0	0.3954	0.449475080618	0.2923	11941167.0	54.0	0.0	0.3123	12045621.0	0.0
ERS185470	8952792.0	720		6856368.0	49.1163371429	0.0	13689	8952792.0	2993041.0	21.0	0.0	0.4315	0.491163371429	0.2449	13474596.0	54.0	0.0	0.3236	13569416.0	0.0
ERS185473	3667190.0	732		5802468.0	39.2848558906	0.0	13560	3667190.0	2293710.0	21.0	0.0	0.3637	0.392848558906	0.3472	9556871.0	54.0	0.0	0.2891	9656610.0	0.0
