Sample	Samtools Stats_mqc-generalstats-samtools_stats-reads_mapped	Samtools Stats_mqc-generalstats-samtools_stats-non_primary_alignments	bcbio_mqc-generalstats-bcbio-Mapped_reads	bcbio_mqc-generalstats-bcbio-isomiRs	QualiMap_mqc-generalstats-qualimap-reads_aligned	FastQC_mqc-generalstats-fastqc-percent_duplicates	Samtools Stats_mqc-generalstats-samtools_stats-raw_total_sequences	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	bcbio_mqc-generalstats-bcbio-miRNAs	Samtools Stats_mqc-generalstats-samtools_stats-error_rate	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools Stats_mqc-generalstats-samtools_stats-reads_mapped_percent	bcbio_mqc-generalstats-bcbio-Average_insert_size	bcbio_mqc-generalstats-bcbio-Total_reads	bcbio_mqc-generalstats-bcbio-Duplicates_pct	QualiMap_mqc-generalstats-qualimap-5_3_bias	Samtools Stats_mqc-generalstats-samtools_stats-reads_MQ0_percent	Samtools Stats_mqc-generalstats-samtools_stats-reads_properly_paired_percent	bcbio_mqc-generalstats-bcbio-RiP_pct
ERS185036	28242863.0	0.0	28242863.0	18736	28242863.0	96.5014408022	28490037.0	55.0	30.0	836	0.006934356	21.554634485	28490037.0	99.1324195191	0.0	28490037.0	39.4559645033	332.33	0.0	0.0	0.0
ERS185068	40591539.0	0.0	40591539.0	28788	40591539.0	90.8085620747	40966549.0	53.0	20.0	984	0.008082437	22.258454648	40966549.0	99.0845946042	0.0	40966549.0	37.1826158156	3.21	0.0	0.0	0.0
ERS185082	51128268.0	0.0	51128268.0	31935	51128268.0	65.717048802	51510333.0	54.0	30.0	938	0.01881313	21.7353319576	51510333.0	99.2582750339	0.0	51510333.0	29.5430758578	6.02	0.0	0.0	0.0
ERS185102	42041673.0	0.0	42041673.0	14317	42041673.0	93.7600273945	42194758.0	54.0	20.0	817	0.003185834	21.9711576969	42194758.0	99.6371942695	0.0	42194758.0	34.6305628703	2.27	0.0	0.0	0.0
ERS185125	9849296.0	0.0	9849296.0	13328	9849296.0	98.73017412	9919320.0	54.0	40.0	734	0.007437903	22.0244302029	9919320.0	99.2940645125	0.0	9919320.0	37.7636330556		0.0	0.0	0.0
ERS185252	20118327.0	0.0	20118327.0	25439	20118327.0	95.0197623362	20308348.0	53.0	20.0	938	0.008733745	21.9590498942	20308348.0	99.0643207414	0.0	20308348.0	38.1294229883		0.0	0.0	0.0
ERS185400	8692878.0	0.0	8692878.0	14045	8692878.0	97.1323280314	8803151.0	52.0	30.0	640	0.005706759	23.7574735456	8803151.0	98.7473462627	0.0	8803151.0	49.5743066911	4.85	0.0	0.0	0.0
ERS185403	11941167.0	0.0	11941167.0	14288	11941167.0	98.7449425746	12045621.0	54.0	40.0	784	0.006488994	21.8596651015	12045621.0	99.1328467001	0.0	12045621.0	44.9475080618		0.0	0.0	0.0
ERS185470	13474596.0	0.0	13474596.0	13689	13474596.0	98.4849399555	13569416.0	54.0	30.0	720	0.004992547	21.6991695884	13569416.0	99.3012226908	0.0	13569416.0	49.1163371429		0.0	0.0	0.0
ERS185473	9556871.0	0.0	9556871.0	13560	9556871.0	98.62667535	9656610.0	54.0	30.0	732	0.006690182	21.9806799695	9656610.0	98.9671427136	0.0	9656610.0	39.2848558906		0.0	0.0	0.0
