Sample	bases_trimmed	error_rate	insert_size_standard_deviation	non-primary_alignments	maximum_length	maximum_last_fragment_length	reads_mapped_and_paired	sequences	average_quality	insert_size_average	reads_mapped	reads_unmapped	reads_QC_failed	reads_duplicated_percent	reads_paired	average_last_fragment_length	1st_fragments	reads_MQ0	average_length	reads_mapped_and_paired_percent	percentage_of_properly_paired_reads_(%)	bases_mapped	total_length	bases_mapped_(cigar)	bases_duplicated	average_first_fragment_length	pairs_with_other_orientation	mismatches	total_last_fragment_length	reads_properly_paired	inward_oriented_pairs	filtered_sequences	outward_oriented_pairs	reads_unmapped_percent	reads_QC_failed_percent	reads_properly_paired_percent	reads_paired_percent	reads_MQ0_percent	reads_mapped_percent	total_first_fragment_length	raw_total_sequences	pairs_on_different_chromosomes	last_fragments	is_sorted	maximum_first_fragment_length	reads_duplicated
ERS185036	0.0	0.006934356	0.0	0.0	28.0	0.0	0.0	28490037.0	37.7	0.0	28242863.0	247174.0	0.0	60.0187672624	0.0	0.0	28490037.0	0.0	21.0	0.0	0.0	608528312.0	614092334.0	608528312.0	370079802.0	22.0	0.0	4219752.0	0.0	0.0	0.0	0.0	0.0	0.867580480854	0.0	0.0	0.0	0.0	99.1324195191	614092334.0	28490037.0	0.0	0.0	1.0	0.0	17099369.0
ERS185068	0.0	0.008082437	0.0	0.0	28.0	0.0	0.0	40966549.0	37.6	0.0	40591539.0	375010.0	0.0	62.2423504601	0.0	0.0	40966549.0	0.0	22.0	0.0	0.0	903130743.0	911852073.0	903130743.0	572246801.0	22.0	0.0	7299498.0	0.0	0.0	0.0	0.0	0.0	0.915405395753	0.0	0.0	0.0	0.0	99.0845946042	911852073.0	40966549.0	0.0	0.0	1.0	0.0	25498543.0
ERS185082	0.0	0.01881313	0.0	0.0	28.0	0.0	0.0	51510333.0	37.3	0.0	51128268.0	382065.0	0.0	69.9343275455	0.0	0.0	51510333.0	0.0	21.0	0.0	0.0	1110649066.0	1119594187.0	1110649066.0	779595501.0	22.0	0.0	20894780.0	0.0	0.0	0.0	0.0	0.0	0.741724966134	0.0	0.0	0.0	0.0	99.2582750339	1119594187.0	51510333.0	0.0	0.0	1.0	0.0	36023405.0
ERS185102	0.0	0.003185834	0.0	0.0	28.0	0.0	0.0	42194758.0	37.5	0.0	42041673.0	153085.0	0.0	65.1322730658	0.0	0.0	42194758.0	0.0	21.0	0.0	0.0	923415781.0	927067682.0	923415781.0	599961882.0	22.0	0.0	2941849.0	0.0	0.0	0.0	0.0	0.0	0.362805730513	0.0	0.0	0.0	0.0	99.6371942695	927067682.0	42194758.0	0.0	0.0	1.0	0.0	27482405.0
ERS185125	0.0	0.007437903	0.0	0.0	28.0	0.0	0.0	9919320.0	37.7	0.0	9849296.0	70024.0	0.0	61.797018344	0.0	0.0	9919320.0	0.0	22.0	0.0	0.0	216842833.0	218467371.0	216842833.0	135917339.0	22.0	0.0	1612856.0	0.0	0.0	0.0	0.0	0.0	0.705935487513	0.0	0.0	0.0	0.0	99.2940645125	218467371.0	9919320.0	0.0	0.0	1.0	0.0	6129844.0
ERS185252	0.0	0.008733745	0.0	0.0	28.0	0.0	0.0	20308348.0	37.5	0.0	20118327.0	190021.0	0.0	61.2916668554	0.0	0.0	20308348.0	0.0	21.0	0.0	0.0	441518282.0	445952027.0	441518282.0	275683499.0	22.0	0.0	3856108.0	0.0	0.0	0.0	0.0	0.0	0.935679258598	0.0	0.0	0.0	0.0	99.0643207414	445952027.0	20308348.0	0.0	0.0	1.0	0.0	12447325.0
ERS185400	0.0	0.005706759	0.0	0.0	28.0	0.0	0.0	8803151.0	36.3	0.0	8692878.0	110273.0	0.0	49.7940339772	0.0	0.0	8803151.0	0.0	23.0	0.0	0.0	206546501.0	209140627.0	206546501.0	104102113.0	24.0	0.0	1178711.0	0.0	0.0	0.0	0.0	0.0	1.25265373728	0.0	0.0	0.0	0.0	98.7473462627	209140627.0	8803151.0	0.0	0.0	1.0	0.0	4383444.0
ERS185403	0.0	0.006488994	0.0	0.0	28.0	0.0	0.0	12045621.0	37.6	0.0	11941167.0	104454.0	0.0	54.5751024376	0.0	0.0	12045621.0	0.0	21.0	0.0	0.0	260953530.0	263313241.0	260953530.0	142590046.0	22.0	0.0	1693326.0	0.0	0.0	0.0	0.0	0.0	0.867153299942	0.0	0.0	0.0	0.0	99.1328467001	263313241.0	12045621.0	0.0	0.0	1.0	0.0	6573910.0
ERS185470	0.0	0.004992547	0.0	0.0	28.0	0.0	0.0	13569416.0	37.7	0.0	13474596.0	94820.0	0.0	50.528099367	0.0	0.0	13569416.0	0.0	21.0	0.0	0.0	292273885.0	294445059.0	292273885.0	148487691.0	22.0	0.0	1459191.0	0.0	0.0	0.0	0.0	0.0	0.698777309208	0.0	0.0	0.0	0.0	99.3012226908	294445059.0	13569416.0	0.0	0.0	1.0	0.0	6856368.0
ERS185473	0.0	0.006690182	0.0	0.0	28.0	0.0	0.0	9656610.0	37.5	0.0	9556871.0	99739.0	0.0	60.0880433196	0.0	0.0	9656610.0	0.0	21.0	0.0	0.0	209972609.0	212258854.0	209972609.0	127771717.0	22.0	0.0	1404755.0	0.0	0.0	0.0	0.0	0.0	1.03285728636	0.0	0.0	0.0	0.0	98.9671427136	212258854.0	9656610.0	0.0	0.0	1.0	0.0	5802468.0
