Module	Section	Sample Name	Source
bcbio	all_sections	ERS185068	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185068_bcbio.txt
bcbio	all_sections	ERS185252	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185252_bcbio.txt
bcbio	all_sections	ERS185082	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185082_bcbio.txt
bcbio	all_sections	ERS185036	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185036_bcbio.txt
bcbio	all_sections	ERS185470	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185470_bcbio.txt
bcbio	all_sections	ERS185473	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185473_bcbio.txt
bcbio	all_sections	ERS185400	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185400_bcbio.txt
bcbio	all_sections	ERS185403	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185403_bcbio.txt
bcbio	all_sections	ERS185125	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185125_bcbio.txt
bcbio	all_sections	ERS185102	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/multiqc/report/metrics/ERS185102_bcbio.txt
FastQC	all_sections	ERS185068	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185068/fastqc/fastqc_data.txt
FastQC	all_sections	ERS185252	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185252/fastqc/fastqc_data.txt
FastQC	all_sections	ERS185082	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185082/fastqc/fastqc_data.txt
FastQC	all_sections	ERS185036	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185036/fastqc/fastqc_data.txt
FastQC	all_sections	ERS185470	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185470/fastqc/fastqc_data.txt
FastQC	all_sections	ERS185473	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185473/fastqc/fastqc_data.txt
FastQC	all_sections	ERS185400	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185400/fastqc/fastqc_data.txt
FastQC	all_sections	ERS185403	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185403/fastqc/fastqc_data.txt
FastQC	all_sections	ERS185125	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185125/fastqc/fastqc_data.txt
FastQC	all_sections	ERS185102	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185102/fastqc/fastqc_data.txt
Samtools	stats	ERS185068	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185068/samtools/ERS185068.txt
Samtools	stats	ERS185252	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185252/samtools/ERS185252.txt
Samtools	stats	ERS185082	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185082/samtools/ERS185082.txt
Samtools	stats	ERS185036	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185036/samtools/ERS185036.txt
