Base	N-Count	sample
1	0.2303907785244115	ERS185403
2	0.07657554558623421	ERS185403
3	0.7308465043022688	ERS185403
4	0.03883568974982693	ERS185403
5	0.02473097900058453	ERS185403
6	0.0	ERS185403
7	0.0	ERS185403
8	0.009057233329854891	ERS185403
9	0.0	ERS185403
10	0.0	ERS185403
11	0.0	ERS185403
12	0.0	ERS185403
13	0.0	ERS185403
14	2.490531621408311e-05	ERS185403
15	0.00043169214771077386	ERS185403
16	0.0	ERS185403
17	0.0	ERS185403
18	0.0	ERS185403
19	0.0	ERS185403
20	0.0	ERS185403
21	0.0	ERS185403
22	0.0	ERS185403
23	0.0	ERS185403
24	0.0	ERS185403
25	0.00014945460279076583	ERS185403
26	0.0	ERS185403
27	0.00024774469743765916	ERS185403
28	0.0	ERS185403
1	0.0019879245511067573	ERS185400
2	0.021435506445362577	ERS185400
3	0.0002158318084058765	ERS185400
4	0.00018175310181547493	ERS185400
5	0.0	ERS185400
6	0.00012495525749813902	ERS185400
7	0.0003294274970405483	ERS185400
8	0.0	ERS185400
9	0.0	ERS185400
10	0.17242689577856835	ERS185400
11	0.0	ERS185400
12	0.0	ERS185400
13	0.0002158318084058765	ERS185400
14	0.0	ERS185400
15	0.008655991473961995	ERS185400
16	0.0	ERS185400
17	0.0	ERS185400
18	0.0017486588886473705	ERS185400
19	0.00021485602915262097	ERS185400
20	0.0	ERS185400
21	0.0	ERS185400
22	0.0	ERS185400
23	0.0	ERS185400
24	0.0	ERS185400
25	0.0	ERS185400
26	0.0	ERS185400
27	0.0	ERS185400
28	0.0	ERS185400
1	0.1905166736726179	ERS185470
2	0.1430643735883696	ERS185470
3	0.0	ERS185470
4	0.13841421030941936	ERS185470
5	0.007634816413617211	ERS185470
6	0.0	ERS185470
7	0.0011496441703902364	ERS185470
8	0.007539012732751358	ERS185470
9	0.0	ERS185470
10	0.0	ERS185470
11	1.4739027825515854e-05	ERS185470
12	0.0	ERS185470
13	0.0	ERS185470
14	0.0	ERS185470
15	0.0	ERS185470
16	0.0	ERS185470
17	0.0	ERS185470
18	0.0	ERS185470
19	0.0	ERS185470
20	0.0	ERS185470
21	0.0	ERS185470
22	0.0	ERS185470
23	0.0	ERS185470
24	0.0	ERS185470
25	0.0	ERS185470
26	0.0	ERS185470
27	0.0	ERS185470
28	0.0	ERS185470
1	0.020434734910372256	ERS185082
2	0.0023160401622719074	ERS185082
3	24.03871471768587	ERS185082
4	0.0019005895380253125	ERS185082
5	0.006587027888171486	ERS185082
6	0.0	ERS185082
7	0.0	ERS185082
8	0.0	ERS185082
9	0.00024266975715338512	ERS185082
10	0.00010095061897580822	ERS185082
11	0.0	ERS185082
12	0.0	ERS185082
13	0.0	ERS185082
14	0.0	ERS185082
15	0.0	ERS185082
16	0.0	ERS185082
17	0.0	ERS185082
18	9.526301620809288e-05	ERS185082
19	5.146568215561538e-06	ERS185082
20	0.0	ERS185082
21	8.272144057068953	ERS185082
22	0.0	ERS185082
23	0.0	ERS185082
24	0.0	ERS185082
25	0.0	ERS185082
26	7.433885807336725e-05	ERS185082
