Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	32.79687439941868	34.0	31.0	34.0	31.0	34.0	ERS185403
2	32.993938544139816	34.0	31.0	34.0	31.0	34.0	ERS185403
3	32.83517769652557	34.0	33.0	34.0	31.0	34.0	ERS185403
4	36.291732572359706	37.0	37.0	37.0	35.0	37.0	ERS185403
5	36.2916404226897	37.0	37.0	37.0	35.0	37.0	ERS185403
6	36.263873319607185	37.0	37.0	37.0	35.0	37.0	ERS185403
7	36.332074369598715	37.0	37.0	37.0	35.0	37.0	ERS185403
8	36.33454306755957	37.0	37.0	37.0	35.0	37.0	ERS185403
9	38.11249141908085	39.0	39.0	39.0	37.0	39.0	ERS185403
10	38.11209484342899	39.0	39.0	39.0	37.0	39.0	ERS185403
11	38.146825638960415	39.0	39.0	39.0	37.0	39.0	ERS185403
12	38.12625683640553	39.0	39.0	39.0	37.0	39.0	ERS185403
13	38.08430798212894	39.0	39.0	39.0	37.0	39.0	ERS185403
14	39.77738532533939	41.0	40.0	41.0	37.0	41.0	ERS185403
15	39.68712688204286	41.0	40.0	41.0	37.0	41.0	ERS185403
16	39.71664175719957	41.0	40.0	41.0	37.0	41.0	ERS185403
17	39.42893878198559	41.0	40.0	41.0	37.0	41.0	ERS185403
18	39.50934904154196	41.0	40.0	41.0	37.0	41.0	ERS185403
19	39.53648105386642	41.0	40.0	41.0	37.0	41.0	ERS185403
20	39.606255680470746	41.0	40.0	41.0	37.0	41.0	ERS185403
21	39.57474520810018	41.0	40.0	41.0	37.0	41.0	ERS185403
22	39.57261899967362	41.0	40.0	41.0	37.0	41.0	ERS185403
23	39.418093728436396	41.0	39.0	41.0	37.0	41.0	ERS185403
24	39.41856404026333	41.0	39.0	41.0	37.0	41.0	ERS185403
25	39.355766967394246	41.0	39.0	41.0	36.0	41.0	ERS185403
26	39.467801071730754	41.0	40.0	41.0	37.0	41.0	ERS185403
27	39.42235103111343	41.0	40.0	41.0	36.0	41.0	ERS185403
28	38.91009096448468	41.0	39.0	41.0	35.0	41.0	ERS185403
1	31.480669251271504	31.0	31.0	34.0	30.0	34.0	ERS185400
2	31.44461148059371	31.0	31.0	34.0	30.0	34.0	ERS185400
3	31.50826346157189	31.0	31.0	34.0	28.0	34.0	ERS185400
4	34.093356117599264	37.0	35.0	37.0	28.0	37.0	ERS185400
5	34.78705976984832	37.0	35.0	37.0	32.0	37.0	ERS185400
6	35.10926178592188	37.0	35.0	37.0	32.0	37.0	ERS185400
7	35.29841110302436	37.0	35.0	37.0	32.0	37.0	ERS185400
8	35.40287347110143	37.0	35.0	37.0	33.0	37.0	ERS185400
9	37.0655107472313	39.0	37.0	39.0	33.0	39.0	ERS185400
10	36.436803480935396	39.0	35.0	39.0	32.0	39.0	ERS185400
11	37.01808613756597	39.0	37.0	39.0	33.0	39.0	ERS185400
12	36.930392424258095	39.0	37.0	39.0	33.0	39.0	ERS185400
13	36.922446746625155	39.0	37.0	39.0	33.0	39.0	ERS185400
14	38.25534300161385	40.0	38.0	41.0	33.0	41.0	ERS185400
15	37.871711617805936	40.0	37.0	41.0	33.0	41.0	ERS185400
16	38.228778649826644	40.0	37.0	41.0	33.0	41.0	ERS185400
17	38.06153296700239	40.0	37.0	41.0	33.0	41.0	ERS185400
18	38.13482993829087	40.0	37.0	41.0	33.0	41.0	ERS185400
19	38.15733477302789	40.0	37.0	41.0	33.0	41.0	ERS185400
20	38.1261439117448	40.0	37.0	41.0	33.0	41.0	ERS185400
21	38.16923393549853	40.0	37.0	41.0	33.0	41.0	ERS185400
22	38.21198785715213	40.0	38.0	41.0	34.0	41.0	ERS185400
23	37.926884395883796	40.0	37.0	41.0	33.0	41.0	ERS185400
24	38.14984572438425	40.0	37.0	41.0	33.0	41.0	ERS185400
25	37.79652798798654	40.0	37.0	41.0	32.0	41.0	ERS185400
26	37.932807341102254	40.0	37.0	41.0	33.0	41.0	ERS185400
27	37.97877643697947	40.0	37.0	41.0	33.0	41.0	ERS185400
28	37.60330915703564	40.0	37.0	41.0	32.0	41.0	ERS185400
1	32.914172430117844	34.0	31.0	34.0	31.0	34.0	ERS185470
2	32.955187975665275	34.0	33.0	34.0	31.0	34.0	ERS185470
3	33.103948615032515	34.0	33.0	34.0	31.0	34.0	ERS185470
4	36.42370762308415	37.0	37.0	37.0	35.0	37.0	ERS185470
5	36.36555589422567	37.0	37.0	37.0	35.0	37.0	ERS185470
6	36.36296013034017	37.0	37.0	37.0	35.0	37.0	ERS185470
7	36.29268695130284	37.0	37.0	37.0	35.0	37.0	ERS185470
8	36.384922313532144	37.0	37.0	37.0	35.0	37.0	ERS185470
9	38.32437431352978	39.0	39.0	39.0	37.0	39.0	ERS185470
10	38.27368480706907	39.0	39.0	39.0	37.0	39.0	ERS185470
11	38.311414212667664	39.0	39.0	39.0	37.0	39.0	ERS185470
12	38.27535061199392	39.0	39.0	39.0	37.0	39.0	ERS185470
13	38.19909198745178	39.0	39.0	39.0	37.0	39.0	ERS185470
14	39.88298192051891	41.0	40.0	41.0	38.0	41.0	ERS185470
15	39.86160185523091	41.0	40.0	41.0	38.0	41.0	ERS185470
16	39.87499815762152	41.0	40.0	41.0	38.0	41.0	ERS185470
17	39.867087942472985	41.0	40.0	41.0	38.0	41.0	ERS185470
18	39.89908767556121	41.0	40.0	41.0	38.0	41.0	ERS185470
19	39.87682225517709	41.0	40.0	41.0	38.0	41.0	ERS185470
