GC_Content	Count	sample
0	13725.0	ERS185403
1	13725.0	ERS185403
2	17990.5	ERS185403
3	21602.0	ERS185403
4	20948.0	ERS185403
5	20423.0	ERS185403
6	15350.5	ERS185403
7	13061.5	ERS185403
8	17378.5	ERS185403
9	18746.5	ERS185403
10	17636.0	ERS185403
11	14055.5	ERS185403
12	10628.5	ERS185403
13	8930.5	ERS185403
14	6499.0	ERS185403
15	6142.5	ERS185403
16	6904.5	ERS185403
17	7940.0	ERS185403
18	10010.0	ERS185403
19	12173.0	ERS185403
20	15735.0	ERS185403
21	19408.5	ERS185403
22	20358.5	ERS185403
23	21694.5	ERS185403
24	27118.5	ERS185403
25	33295.5	ERS185403
26	40048.5	ERS185403
27	46034.0	ERS185403
28	49766.5	ERS185403
29	56189.5	ERS185403
30	98247.0	ERS185403
31	159930.0	ERS185403
32	200795.0	ERS185403
33	239058.0	ERS185403
34	335212.5	ERS185403
35	444917.5	ERS185403
36	505037.5	ERS185403
37	565136.0	ERS185403
38	631481.5	ERS185403
39	688223.5	ERS185403
40	758308.5	ERS185403
41	852535.0	ERS185403
42	930422.0	ERS185403
43	901388.5	ERS185403
44	846980.5	ERS185403
45	851099.0	ERS185403
46	880301.5	ERS185403
47	1031257.0	ERS185403
48	1548912.5	ERS185403
49	1943935.0	ERS185403
50	2337690.5	ERS185403
51	2731446.0	ERS185403
52	2526683.0	ERS185403
53	2342674.0	ERS185403
54	2074394.5	ERS185403
55	1874848.5	ERS185403
56	1952191.0	ERS185403
57	1937033.0	ERS185403
58	1933789.0	ERS185403
59	1927361.0	ERS185403
60	1883856.0	ERS185403
61	1780500.0	ERS185403
62	1701067.0	ERS185403
63	1594705.0	ERS185403
64	1448065.0	ERS185403
65	1343151.0	ERS185403
66	1220429.0	ERS185403
67	1107480.0	ERS185403
68	1024802.0	ERS185403
69	1004137.0	ERS185403
70	979067.5	ERS185403
71	895279.0	ERS185403
72	839183.0	ERS185403
73	784693.5	ERS185403
74	681658.5	ERS185403
75	419269.0	ERS185403
76	196422.5	ERS185403
77	167251.5	ERS185403
78	159433.5	ERS185403
79	104015.0	ERS185403
80	49693.5	ERS185403
81	38294.0	ERS185403
82	27200.0	ERS185403
83	22176.5	ERS185403
84	21019.5	ERS185403
85	16470.5	ERS185403
86	11326.0	ERS185403
87	9916.0	ERS185403
88	8402.0	ERS185403
89	7395.5	ERS185403
90	7424.0	ERS185403
91	8004.5	ERS185403
92	7020.0	ERS185403
93	5184.0	ERS185403
94	4689.0	ERS185403
95	4489.0	ERS185403
96	4470.0	ERS185403
97	3670.0	ERS185403
98	3609.0	ERS185403
99	4348.0	ERS185403
100	4348.0	ERS185403
0	8005.0	ERS185400
1	8005.0	ERS185400
2	6874.0	ERS185400
3	5251.0	ERS185400
4	4759.0	ERS185400
5	4262.5	ERS185400
6	4402.0	ERS185400
7	4540.0	ERS185400
8	5034.0	ERS185400
9	6952.5	ERS185400
10	6904.0	ERS185400
11	5981.0	ERS185400
12	5920.0	ERS185400
13	4945.0	ERS185400
14	3486.0	ERS185400
15	4597.5	ERS185400
16	7155.0	ERS185400
17	9316.0	ERS185400
18	11220.5	ERS185400
19	12316.5	ERS185400
20	16074.0	ERS185400
21	19121.5	ERS185400
22	20070.0	ERS185400
23	25705.5	ERS185400
24	33846.0	ERS185400
25	44718.5	ERS185400
26	59912.0	ERS185400
27	73405.5	ERS185400
28	96849.0	ERS185400
29	123545.5	ERS185400
30	162195.0	ERS185400
31	207404.5	ERS185400
32	226741.0	ERS185400
33	260279.5	ERS185400
34	330143.5	ERS185400
35	420730.0	ERS185400
36	490255.5	ERS185400
37	528137.0	ERS185400
38	574645.5	ERS185400
39	614996.5	ERS185400
40	656838.0	ERS185400
41	704273.5	ERS185400
42	741122.5	ERS185400
43	778963.5	ERS185400
44	799084.0	ERS185400
45	816828.5	ERS185400
46	867907.5	ERS185400
47	918068.5	ERS185400
48	1170225.0	ERS185400
49	1406641.0	ERS185400
50	1694238.5	ERS185400
51	1981836.0	ERS185400
52	1894746.0	ERS185400
53	1807964.5	ERS185400
54	1572769.0	ERS185400
55	1374329.0	ERS185400
56	1380469.0	ERS185400
57	1284294.0	ERS185400
58	1190336.5	ERS185400
59	1141209.5	ERS185400
60	1071925.0	ERS185400
61	997075.5	ERS185400
62	956671.0	ERS185400
63	880708.0	ERS185400
64	790981.0	ERS185400
65	725346.5	ERS185400
66	620420.5	ERS185400
67	509587.5	ERS185400
68	450449.5	ERS185400
69	383777.0	ERS185400
70	295954.0	ERS185400
71	244474.0	ERS185400
72	211633.0	ERS185400
73	166349.0	ERS185400
74	122059.0	ERS185400
75	88552.0	ERS185400
76	65858.0	ERS185400
77	59011.0	ERS185400
78	56285.0	ERS185400
79	46534.0	ERS185400
80	28601.0	ERS185400
81	17159.0	ERS185400
82	16098.0	ERS185400
83	13121.5	ERS185400
84	10122.0	ERS185400
85	8723.0	ERS185400
86	6930.5	ERS185400
87	5005.0	ERS185400
88	3369.5	ERS185400
89	3166.0	ERS185400
90	3435.0	ERS185400
91	3389.5	ERS185400
92	3148.5	ERS185400
93	3143.5	ERS185400
94	2728.0	ERS185400
95	2289.0	ERS185400
96	2274.0	ERS185400
97	2194.5	ERS185400
98	1590.5	ERS185400
99	1066.0	ERS185400
100	1066.0	ERS185400
0	11485.0	ERS185470
1	11485.0	ERS185470
2	10068.0	ERS185470
3	8077.0	ERS185470
4	7503.0	ERS185470
5	7357.5	ERS185470
6	6718.5	ERS185470
7	5752.5	ERS185470
8	5078.0	ERS185470
9	4416.5	ERS185470
10	3914.5	ERS185470
11	2915.5	ERS185470
12	2211.5	ERS185470
13	2552.5	ERS185470
14	2700.5	ERS185470
15	2798.0	ERS185470
16	3106.0	ERS185470
17	3277.0	ERS185470
18	3387.5	ERS185470
19	3903.0	ERS185470
20	9700.0	ERS185470
21	19023.0	ERS185470
22	24170.0	ERS185470
23	30840.5	ERS185470
24	38325.5	ERS185470
25	45990.0	ERS185470
26	60319.0	ERS185470
27	72451.5	ERS185470
28	87161.5	ERS185470
29	105896.0	ERS185470
30	159544.5	ERS185470
31	238157.0	ERS185470
32	287018.0	ERS185470
33	323638.5	ERS185470
34	400010.0	ERS185470
35	499190.0	ERS185470
36	573227.0	ERS185470
37	649159.5	ERS185470
38	745249.0	ERS185470
39	853855.0	ERS185470
40	962461.0	ERS185470
41	1035226.5	ERS185470
42	1095787.0	ERS185470
43	1085568.5	ERS185470
44	1025982.0	ERS185470
45	1036447.0	ERS185470
46	1047216.5	ERS185470
47	1148591.5	ERS185470
48	1485766.5	ERS185470
49	1711597.0	ERS185470
50	2108710.0	ERS185470
51	2505823.0	ERS185470
52	2519132.5	ERS185470
53	2550735.5	ERS185470
54	2415155.5	ERS185470
55	2424413.0	ERS185470
56	2557854.0	ERS185470
57	2491506.5	ERS185470
58	2572421.5	ERS185470
59	2648534.0	ERS185470
60	2550003.5	ERS185470
61	2342592.5	ERS185470
62	2193544.0	ERS185470
63	2102430.0	ERS185470
64	1840011.0	ERS185470
65	1617688.5	ERS185470
66	1479707.0	ERS185470
67	1349798.5	ERS185470
68	1172909.5	ERS185470
69	959041.0	ERS185470
70	831558.5	ERS185470
71	739675.5	ERS185470
72	674878.0	ERS185470
73	616444.0	ERS185470
74	500771.5	ERS185470
75	323092.0	ERS185470
76	196957.5	ERS185470
77	169522.0	ERS185470
78	156805.0	ERS185470
79	113327.5	ERS185470
80	76906.0	ERS185470
81	62722.0	ERS185470
82	49061.0	ERS185470
83	44213.5	ERS185470
84	41530.5	ERS185470
85	35908.5	ERS185470
86	27446.5	ERS185470
87	22206.5	ERS185470
88	19358.0	ERS185470
89	19366.5	ERS185470
90	21693.0	ERS185470
91	22817.0	ERS185470
92	23240.5	ERS185470
93	24801.0	ERS185470
94	23918.0	ERS185470
95	22231.0	ERS185470
96	22231.0	ERS185470
97	26096.5	ERS185470
98	33274.0	ERS185470
99	36586.0	ERS185470
100	36586.0	ERS185470
0	18162.0	ERS185082
1	18162.0	ERS185082
2	15482.0	ERS185082
3	13426.5	ERS185082
4	14051.0	ERS185082
5	13878.5	ERS185082
6	11576.0	ERS185082
7	8603.5	ERS185082
8	6714.0	ERS185082
9	7235.5	ERS185082
10	8501.0	ERS185082
11	7980.0	ERS185082
12	7605.5	ERS185082
13	10472.5	ERS185082
14	13075.0	ERS185082
15	12980.0	ERS185082
16	14579.5	ERS185082
17	19393.5	ERS185082
18	24125.5	ERS185082
19	26981.5	ERS185082
20	37261.5	ERS185082
21	52033.5	ERS185082
22	61929.0	ERS185082
23	75338.5	ERS185082
24	96365.5	ERS185082
25	128719.5	ERS185082
26	182080.5	ERS185082
27	227039.0	ERS185082
28	281143.5	ERS185082
29	349693.5	ERS185082
30	502921.5	ERS185082
31	724674.0	ERS185082
32	882911.5	ERS185082
33	1036087.0	ERS185082
34	1332664.0	ERS185082
35	1667061.0	ERS185082
36	1897204.0	ERS185082
37	2166512.0	ERS185082
38	2492560.0	ERS185082
39	2716778.0	ERS185082
40	2959680.0	ERS185082
41	3333689.0	ERS185082
42	3803121.0	ERS185082
43	4277451.5	ERS185082
44	4663883.5	ERS185082
45	5003525.0	ERS185082
46	5722536.5	ERS185082
47	6720250.5	ERS185082
48	8111986.0	ERS185082
49	9070146.0	ERS185082
50	10420643.0	ERS185082
51	11771140.0	ERS185082
52	11206149.5	ERS185082
53	10640268.5	ERS185082
54	9165071.0	ERS185082
55	7966366.5	ERS185082
56	8162179.5	ERS185082
57	7963740.0	ERS185082
58	7855578.0	ERS185082
59	7801069.5	ERS185082
60	7525561.0	ERS185082
61	6891549.5	ERS185082
62	6544832.5	ERS185082
63	6375302.5	ERS185082
64	5883249.5	ERS185082
65	5518712.0	ERS185082
66	5108445.0	ERS185082
67	4675129.0	ERS185082
68	4313378.5	ERS185082
69	3868512.5	ERS185082
70	3471022.0	ERS185082
71	3219564.0	ERS185082
72	3078694.0	ERS185082
73	2836875.0	ERS185082
74	2387825.5	ERS185082
75	1589100.0	ERS185082
76	959035.5	ERS185082
77	842020.5	ERS185082
78	803542.5	ERS185082
79	539814.0	ERS185082
80	278462.0	ERS185082
81	214929.0	ERS185082
82	156852.5	ERS185082
83	130490.5	ERS185082
84	115106.0	ERS185082
85	97303.0	ERS185082
86	73815.5	ERS185082
87	62315.0	ERS185082
88	56348.5	ERS185082
89	52116.5	ERS185082
90	52412.5	ERS185082
91	50206.5	ERS185082
92	45866.0	ERS185082
93	46175.5	ERS185082
94	45804.0	ERS185082
95	43935.5	ERS185082
96	43668.0	ERS185082
97	44570.5	ERS185082
98	43659.0	ERS185082
99	41845.0	ERS185082
100	41845.0	ERS185082
0	40101.0	ERS185252
1	40101.0	ERS185252
2	38837.0	ERS185252
3	31753.5	ERS185252
4	25934.0	ERS185252
5	25381.5	ERS185252
6	22295.0	ERS185252
7	18055.5	ERS185252
8	14584.0	ERS185252
9	12437.5	ERS185252
10	11171.5	ERS185252
11	9361.0	ERS185252
12	7779.0	ERS185252
13	7417.0	ERS185252
14	7562.5	ERS185252
15	8596.5	ERS185252
16	10193.5	ERS185252
17	12050.5	ERS185252
18	14516.0	ERS185252
19	17323.0	ERS185252
20	22230.5	ERS185252
21	33373.5	ERS185252
22	44262.5	ERS185252
23	62084.0	ERS185252
24	90856.0	ERS185252
25	115569.5	ERS185252
26	136018.0	ERS185252
27	149603.0	ERS185252
28	161660.5	ERS185252
29	182378.5	ERS185252
30	283763.5	ERS185252
31	418846.0	ERS185252
32	476265.5	ERS185252
33	530602.0	ERS185252
34	676385.5	ERS185252
35	845582.0	ERS185252
36	1016848.5	ERS185252
37	1177885.0	ERS185252
38	1295738.5	ERS185252
39	1382489.0	ERS185252
40	1553038.5	ERS185252
41	1764323.0	ERS185252
42	1844899.0	ERS185252
43	1880531.0	ERS185252
44	1821500.0	ERS185252
45	1734141.5	ERS185252
46	1657786.5	ERS185252
47	1709370.0	ERS185252
48	2191039.5	ERS185252
49	2551921.0	ERS185252
50	3197512.5	ERS185252
51	3843104.0	ERS185252
52	3743892.5	ERS185252
53	3756744.0	ERS185252
54	3453508.5	ERS185252
55	3214752.5	ERS185252
56	3349499.5	ERS185252
57	3260367.5	ERS185252
58	3316312.0	ERS185252
59	3433755.5	ERS185252
60	3447167.5	ERS185252
61	3292938.5	ERS185252
62	3135055.0	ERS185252
63	3008423.0	ERS185252
64	2617124.5	ERS185252
65	2320708.0	ERS185252
66	2220572.5	ERS185252
67	2091343.0	ERS185252
