Quality	Count	sample
2	2.0	ERS185403
3	0.0	ERS185403
4	0.0	ERS185403
5	1.0	ERS185403
6	0.0	ERS185403
7	0.0	ERS185403
8	0.0	ERS185403
9	0.0	ERS185403
10	0.0	ERS185403
11	4.0	ERS185403
12	5.0	ERS185403
13	2.0	ERS185403
14	0.0	ERS185403
15	19.0	ERS185403
16	44.0	ERS185403
17	12.0	ERS185403
18	33.0	ERS185403
19	40.0	ERS185403
20	131.0	ERS185403
21	332.0	ERS185403
22	460.0	ERS185403
23	802.0	ERS185403
24	1425.0	ERS185403
25	6554.0	ERS185403
26	6666.0	ERS185403
27	17032.0	ERS185403
28	37989.0	ERS185403
29	54074.0	ERS185403
30	99139.0	ERS185403
31	161291.0	ERS185403
32	199046.0	ERS185403
33	239409.0	ERS185403
34	348669.0	ERS185403
35	520736.0	ERS185403
36	800309.0	ERS185403
37	2062156.0	ERS185403
38	6841671.0	ERS185403
39	647568.0	ERS185403
2	36.0	ERS185400
3	0.0	ERS185400
4	1.0	ERS185400
5	3.0	ERS185400
6	3.0	ERS185400
7	4.0	ERS185400
8	4.0	ERS185400
9	6.0	ERS185400
10	16.0	ERS185400
11	2.0	ERS185400
12	16.0	ERS185400
13	13.0	ERS185400
14	4.0	ERS185400
15	41.0	ERS185400
16	41.0	ERS185400
17	82.0	ERS185400
18	128.0	ERS185400
19	242.0	ERS185400
20	350.0	ERS185400
21	1654.0	ERS185400
22	976.0	ERS185400
23	5494.0	ERS185400
24	4723.0	ERS185400
25	11062.0	ERS185400
26	23344.0	ERS185400
27	54738.0	ERS185400
28	75904.0	ERS185400
29	110738.0	ERS185400
30	178832.0	ERS185400
31	267161.0	ERS185400
32	346349.0	ERS185400
33	464229.0	ERS185400
34	637230.0	ERS185400
35	812366.0	ERS185400
36	1065009.0	ERS185400
37	1601883.0	ERS185400
38	2929580.0	ERS185400
39	210887.0	ERS185400
2	2.0	ERS185470
3	0.0	ERS185470
4	0.0	ERS185470
5	0.0	ERS185470
6	1.0	ERS185470
7	0.0	ERS185470
8	7.0	ERS185470
9	13.0	ERS185470
10	2.0	ERS185470
11	0.0	ERS185470
12	5.0	ERS185470
13	5.0	ERS185470
14	0.0	ERS185470
15	24.0	ERS185470
16	4.0	ERS185470
17	16.0	ERS185470
18	40.0	ERS185470
19	111.0	ERS185470
20	332.0	ERS185470
21	276.0	ERS185470
22	304.0	ERS185470
23	2985.0	ERS185470
24	1340.0	ERS185470
25	3522.0	ERS185470
26	8874.0	ERS185470
27	12629.0	ERS185470
28	27820.0	ERS185470
29	49839.0	ERS185470
30	74943.0	ERS185470
31	117867.0	ERS185470
32	157537.0	ERS185470
33	257076.0	ERS185470
34	364888.0	ERS185470
35	516015.0	ERS185470
