#Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	sample
1	56.212143452656	0.7054946803732678	ERS185403
2	11.540897072097373	0.2896897713198805	ERS185403
3	4.521883788030639	0.1702567147475144	ERS185403
4	3.557788296100421	0.17860914475941572	ERS185403
5	1.6940736150080504	0.1063079834836311	ERS185403
6	2.137091357923861	0.16093034264990966	ERS185403
7	1.0188135263428697	0.08950686369268565	ERS185403
8	1.328460438289019	0.13338353099288686	ERS185403
9	0.8419401683590116	0.09510149340295468	ERS185403
>10	9.339197455503275	2.532552994781472	ERS185403
>50	1.7326140876503002	1.5506580181207386	ERS185403
>100	2.444197379756047	7.101975251945218	ERS185403
>500	2.855820945651064	33.01912323083221	ERS185403
>1k	0.6619549189127305	18.94093641403964	ERS185403
>5k	0.057656492386004086	5.284960186692736	ERS185403
>10k+	0.05546700533337103	29.640513378165842	ERS185403
1	59.80960428503316	1.7151432566150595	ERS185400
2	13.933294903947846	0.7991223845269713	ERS185400
3	5.100634337489844	0.4388083833516077	ERS185400
4	4.0394508627340295	0.4633528003046752	ERS185400
5	1.6314569758259818	0.23392417187800654	ERS185400
6	1.9220996927526213	0.3307170845861792	ERS185400
7	0.7200457442852417	0.14453984978997314	ERS185400
8	1.091681169508653	0.250446679076251	ERS185400
9	0.6221670059754032	0.1605753794543522	ERS185400
>10	6.538276003139742	3.9934980437923735	ERS185400
>50	1.185504185272741	2.4133358613332088	ERS185400
>100	1.5422421889968512	9.994716316702963	ERS185400
>500	1.531374673571935	40.553239986746014	ERS185400
>1k	0.3019279285444203	18.70240779799789	ERS185400
>5k	0.013230018778159262	2.630335412420381	ERS185400
>10k+	0.017010024143347624	17.1758365914241	ERS185400
1	55.64663491149597	0.8430799316316101	ERS185470
2	12.830632162770845	0.3887835627000136	ERS185470
3	4.71609203291537	0.214354878152242	ERS185470
4	3.929903486792396	0.2381615900572119	ERS185470
5	1.6702680416005953	0.12652781866852664	ERS185470
6	2.1275401309069197	0.19340106271956697	ERS185470
7	0.9851907984681842	0.10448362504513993	ERS185470
8	1.3993507829324376	0.16960803675258262	ERS185470
9	0.7687720798246342	0.10482622752960953	ERS185470
>10	8.583895164982739	2.807568322501637	ERS185470
>50	1.684401378536844	1.8120582816482207	ERS185470
>100	2.2879599965922752	7.985463998810222	ERS185470
>500	2.682359130456589	37.7040895767309	ERS185470
>1k	0.6107901960268218	20.790045448266696	ERS185470
>5k	0.04283319225324707	4.6998289022837065	ERS185470
>10k+	0.033376513444088624	21.817718736502112	ERS185470
1	53.03419683756685	18.181687820053575	ERS185082
2	25.80501377181859	17.69344055603932	ERS185082
3	7.414737843110904	7.6259728686313535	ERS185082
4	5.9682701843406605	8.184396618639843	ERS185082
5	1.4458940551713055	2.4784757665429837	ERS185082
6	2.106427592377309	4.332873261090577	ERS185082
7	0.38743427205020176	0.9297673168780206	ERS185082
8	0.9160173731790351	2.5123023120944965	ERS185082
9	0.3843614689817042	1.1859340935128702	ERS185082
>10	2.3106892986872394	13.539712170319298	ERS185082
>50	0.1222462656724889	2.9028064221309875	ERS185082
>100	0.0842637078574367	5.845747400700254	ERS185082
>500	0.010337480588658837	2.4528624344575167	ERS185082
>1k	0.008784587549297678	5.778537927461548	ERS185082
>5k	0.000757292027600769	1.7076381127683602	ERS185082
>10k+	0.0005679690207005768	4.647844918678908	ERS185082
1	54.92316285607528	2.735304042692216	ERS185252
2	20.68572271231667	2.0603963070838067	ERS185252
3	7.169354592362624	1.0711526929742892	ERS185252
4	5.1458235504033185	1.0250969702734136	ERS185252
5	1.5978879110899853	0.3978930778646878	ERS185252
6	1.8120779118439825	0.5414747199751093	ERS185252
7	0.5967836388654774	0.20804870487798632	ERS185252
8	0.9467069276857174	0.37718603982502175	ERS185252
9	0.5372382076846018	0.24080165606946236	ERS185252
>10	4.215379978585177	4.159741930536417	ERS185252
>50	0.5888212826522957	2.072603861366154	ERS185252
>100	0.7402987715738922	8.334921249934986	ERS185252
>500	0.8780311755458979	40.80176584892297	ERS185252
