Sample	chrM	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY	chr1_gl000191_random	chr1_gl000192_random	chr4_ctg9_hap1	chr4_gl000193_random	chr4_gl000194_random	chr6_apd_hap1	chr6_cox_hap2	chr6_dbb_hap3	chr6_mann_hap4	chr6_mcf_hap5	chr6_qbl_hap6	chr6_ssto_hap7	chr7_gl000195_random	chr8_gl000196_random	chr8_gl000197_random	chr9_gl000198_random	chr9_gl000199_random	chr9_gl000200_random	chr9_gl000201_random	chr11_gl000202_random	chr17_ctg5_hap1	chr17_gl000203_random	chr17_gl000204_random	chr17_gl000205_random	chr17_gl000206_random	chr18_gl000207_random	chr19_gl000208_random	chr19_gl000209_random	chr21_gl000210_random	chrUn_gl000211	chrUn_gl000212	chrUn_gl000213	chrUn_gl000214	chrUn_gl000215	chrUn_gl000216	chrUn_gl000217	chrUn_gl000218	chrUn_gl000219	chrUn_gl000220	chrUn_gl000221	chrUn_gl000222	chrUn_gl000223	chrUn_gl000224	chrUn_gl000225	chrUn_gl000226	chrUn_gl000227	chrUn_gl000228	chrUn_gl000229	chrUn_gl000230	chrUn_gl000231	chrUn_gl000232	chrUn_gl000233	chrUn_gl000234	chrUn_gl000235	chrUn_gl000236	chrUn_gl000237	chrUn_gl000238	chrUn_gl000239	chrUn_gl000240	chrUn_gl000241	chrUn_gl000242	chrUn_gl000243	chrUn_gl000244	chrUn_gl000245	chrUn_gl000246	chrUn_gl000247	chrUn_gl000248	chrUn_gl000249	*
ERS185036-idxstats	401285	3572258	1578615	1473599	889762	1194483	1127095	1420583	967462	1206998	837636	1576784	1244630	806991	739058	633952	834069	1183166	497790	784312	531166	420775	513957	1474274	132594	1417	2489	1749	358	3303	23858	63802	42604	41978	41574	49109	45078	554	290	127	104	471	1041	70	123	18644	80	202	831	44	15	251	496	74	1272	935	12876	3007	12773	506	440	3817	697	1782233	3174	6128	2772	826	442	11	854	347	14053	239	117	152	2709	138	122	239	493	168	359	2734	164	420	145	101	115	197	2682	167	209	0
ERS185068-idxstats	361725	3858992	2516063	1762319	1395574	1466398	1612989	2127887	1545763	1882774	1252037	2274676	1812702	947216	1207418	1144873	1208305	1899021	817900	988113	918392	633241	676809	1972081	199680	1851	3137	2173	512	8780	34787	110349	65196	64902	62542	75937	60558	713	387	138	176	48	1243	81	198	19357	92	248	742	61	19	399	529	76	1708	1055	25773	8486	25684	451	559	9407	863	3430502	8683	3790	2767	970	446	0	1376	454	41772	257	228	169	8064	185	131	339	593	169	401	8089	205	497	244	71	138	286	8054	238	256	0
ERS185082-idxstats	864267	6327518	2885873	2500916	1538152	1854458	2068741	2602259	1754970	2811260	1422477	3142311	1956218	1559254	1579146	1369771	1388324	2259652	1005897	1193769	1074352	764879	958928	2626296	233389	2033	5589	2475	638	14944	40165	113018	71473	73763	68698	86742	73722	706	427	183	202	142	1448	86	200	28880	127	339	1168	82	22	521	624	99	2652	1261	26819	14543	26639	512	796	16487	1252	2601641	14800	3384	4163	1240	542	7	1079	520	30726	339	187	211	14137	228	157	405	729	237	520	14121	241	608	260	83	149	334	14067	244	355	0
ERS185102-idxstats	1384384	6623093	2162894	1817971	1174617	1656925	1407798	1780693	1177353	1221710	1042525	1896786	2013745	837810	864408	687910	1252124	1381590	532975	1104568	557503	565478	548469	1872955	243262	1988	3081	2405	560	5482	25452	66037	47063	46451	45302	53889	47089	604	368	125	187	258	1279	69	175	24391	104	213	1336	62	19	477	519	98	6913	1052	8451	5147	8351	524	673	11307	1111	5727599	5286	2796	3232	1538	468	0	993	380	52010	484	195	204	4719	218	183	419	616	142	427	4718	218	527	383	80	154	327	4659	256	284	0
ERS185125-idxstats	44424	979271	568193	567484	315053	474315	408331	558446	356625	537213	303345	605204	381083	341177	318837	257546	256835	507252	210063	235416	232050	149707	192996	565572	40450	415	776	536	83	2064	9741	27070	16487	17712	15978	20925	17716	142	99	42	31	316	360	11	42	5032	19	78	170	19	8	49	155	22	225	277	8416	2018	8391	628	105	2069	200	270886	2046	547	870	215	215	44	194	136	2016	58	35	44	1924	33	28	65	154	62	116	1940	42	141	39	33	34	48	1906	54	56	0
ERS185252-idxstats	375607	2316360	1128658	992780	657884	816798	784593	1034387	659066	935601	610714	972430	850101	525822	545772	510187	584692	992321	352344	518504	408852	408008	322551	1028435	96438	859	1565	1065	225	2631	19056	53017	33693	33548	31876	40500	31522	280	193	76	98	636	590	35	109	10343	47	120	262	33	19	135	285	47	925	559	10258	2513	10233	1230	240	3114	370	1370342	2550	867	1857	310	383	32	698	290	10790	92	102	89	2297	76	52	178	301	93	222	2339	101	231	66	44	62	115	2300	106	130	0
ERS185400-idxstats	137219	889585	498270	444657	285265	349723	347447	444625	314582	464577	271107	431248	362368	277103	227049	198077	234939	385703	164597	215032	179294	164295	117153	464226	47631	510	796	633	138	419	8781	19443	14263	14769	12758	17309	14548	169	102	42	45	293	293	15	40	4647	29	59	739	15	3	159	119	17	416	285	2791	362	2787	191	155	572	840	645826	441	565	672	364	132	11	310	76	7161	101	48	58	276	61	40	110	158	48	107	254	52	128	52	17	57	86	229	46	68	0
ERS185403-idxstats	36244	1250317	657052	640629	405586	570526	490838	598606	429771	777770	372178	752351	450417	373700	329952	281371	351843	646170	221275	326906	241647	215618	290010	620459	67148	591	1136	706	153	2739	12866	34685	20613	22554	20196	26012	23757	221	130	44	62	21	508	20	81	7060	23	98	201	32	17	109	183	25	322	400	4696	2625	4685	497	177	2703	316	334183	2706	1367	1150	194	270	0	389	92	2087	70	50	63	2495	45	47	105	232	65	180	2559	82	204	50	37	44	73	2495	83	102	0
ERS185470-idxstats	156633	1628095	769605	773413	479723	696801	559272	669090	447177	570169	441571	665842	598856	396283	360068	325852	414144	584171	228175	413478	252729	234050	242256	716717	70649	740	1367	951	191	2641	12341	33222	22634	23010	22696	27062	22891	264	186	73	113	39	625	33	83	8709	30	114	490	39	11	152	241	38	518	463	5036	2530	5026	400	246	2787	346	560393	2649	916	1473	450	253	11	475	177	5617	168	74	75	2359	76	72	137	242	95	170	2409	70	208	56	39	71	123	2365	95	121	0
ERS185473-idxstats	64897	1073344	513318	550214	289686	504034	373871	497310	336793	495667	293352	541362	359237	320144	253309	223164	255887	456253	173585	245609	192384	168888	186148	543754	43142	363	809	521	108	1162	9324	26452	15925	17509	16518	20249	18615	136	89	33	34	54	321	15	55	5034	12	62	161	15	8	65	128	21	279	292	5529	1100	5516	414	134	1193	204	442937	1128	756	855	153	191	0	249	97	2580	44	39	39	1000	36	43	64	171	88	124	1037	51	109	33	32	33	54	998	55	64	0
